"Wake up, Little Fish. Hey, wake up, wake up! Somebody think you dead, they have celebrations.",Manuel Fidello ,by Spencer Tracy,in Captain Courageous,1937
You gotta tell big lies to girls to make them happy.,Manuel Fidello ,by Spencer Tracy,in Captain Courageous,1937
"Yippee-ki-yay, motherfucker.",John McClane,by Bruce Willis,in Die Hard,1988
"Welcome to the party, pal.",John McClane,by Bruce Willis,in Die Hard,1988
"Very good, you've figured it out already.",Hans Gruber ,by Alan Rickman,in Die Hard,1988
"What the hell you talking about, man.",Sergeant Al Powell ,by Reginald Veljohnson,in Die Hard,1988
"Oh, yeah, that's right. That's what's it's all about, all right. But talkin' about it and bein' it, that's two different things.",George Hanson ,by Jack Nicholson,in Easy Rider,1969
No. Try not. Do... or do not. There is no try.,Yoda,by Frank Oz,in The Empire Strikes Back,1980
"Control, control, you must learn control!",Yoda,by Frank Oz,in The Empire Strikes Back,1980
You must unlearn what you have learned.,Yoda,by Frank Oz,in The Empire Strikes Back,1980
"He will join us or die, master.",Darth Vader ,by David Prowse,in The Empire Strikes Back,1980
We're in trouble!,Han Solo ,by Harrison Ford,in The Empire Strikes Back,1980
Either shut him up or shut him down!,Han Solo ,by Harrison Ford,in The Empire Strikes Back,1980
Don't get excited.,Han Solo ,by Harrison Ford,in The Empire Strikes Back,1980
"You have learned much, young one.",Darth Vader ,by David Prowse,in The Empire Strikes Back,1980
You certainly have a way with people...,Princess Leia ,by Carrie Fisher,in The Empire Strikes Back,1980
"The force is with you, young Skywalker, but you are not a Jedi yet",Darth Vader,by David Prowse,in The Empire Strikes Back,1980
"You have your moments. Not many of them, but you do have them.",Princess Leia ,by Carrie Fisher,in The Empire Strikes Back,1980
I have a bad feeling about this...,Princess Leia ,by Carrie Fisher,in The Empire Strikes Back,1980
I hope you know what you're doing.,Princess Leia ,by Carrie Fisher,in The Empire Strikes Back,1980
Punch it!,Lando,by Billy Dee Williams,in The Empire Strikes Back,1980
Destroy the image and you will break the enemy.,Shaolin Abbott ,by Roy Chiao,in Enter Dragon ,1973
Never take your eyes off your opponent... even when you're bowing!,Lee,by Bruce Lee,in Enter Dragon ,1973
Your style is unorthodox.,Han,by Kien Shih,in Enter Dragon ,1973
"We are all ready to win, just as we are born knowing only life. It is defeat that you must learn to prepare for.",Han,by Kien Shih,in Enter Dragon ,1973
Very few people can be totally ruthless. It isn't easy; it takes more strength than you might believe.,Han,by Kien Shih,in Enter Dragon ,1973
"You won't find it down there, Columbus!",Varla ,by Tura Satana,"in Faster, Pussycat ! Kill! Kill !",1965
"You're all shook up, aren't you, baby?",Varla ,by Tura Satana,"in Faster, Pussycat ! Kill! Kill !",1965
Go get her!,Varla ,by Tura Satana,"in Faster, Pussycat ! Kill! Kill !",1965
"Easy, baby, you're almost a fire hazard!",Varla ,by Tura Satana,"in Faster, Pussycat ! Kill! Kill !",1965
The things you own end up owning you.,Tyler Durden ,by Brad Pitt,in Fight Club,1999
It's only after we've lost everything that we're free to do anything.,Tyler Durden ,by Brad Pitt,in Fight Club,1999
Get out of your apartment. ,Tyler Durden ,by Brad Pitt,in Fight Club,1999
Meet a member of the opposite sex. ,Tyler Durden ,by Brad Pitt,in Fight Club,1999
Stop the excessive shopping and masturbation.,Tyler Durden ,by Brad Pitt,in Fight Club,1999
Quit your job. ,Tyler Durden ,by Brad Pitt,in Fight Club,1999
Start a fight. Prove you're alive.,Tyler Durden ,by Brad Pitt,in Fight Club,1999
If you don't claim your humanity you will become a statistic. ,Tyler Durden ,by Brad Pitt,in Fight Club,1999
Take some responsibility!,Tyler Durden ,by Brad Pitt,in Fight Club,1999
Listen to me! You have to consider the possibility that God does not like you.,Tyler Durden ,by Brad Pitt,in Fight Club,1999
We're a generation of men raised by women. I'm wondering if another woman is really the answer we need.,Tyler Durden ,by Brad Pitt,in Fight Club,1999
"Without pain, without sacrifice, we would have nothing. Like the first monkey shot into space.",Tyler Durden ,by Brad Pitt,in Fight Club,1999
Stop trying to control everything and just let go! LET GO!,Tyler Durden ,by Brad Pitt,in Fight Club,1999
"Reject the basic assumptions of civilization, especially the importance of material possessions.",Tyler Durden ,by Brad Pitt,in Fight Club,1999
You have a kind of sick desperation in your laugh.,Tyler Durden ,by Brad Pitt,in Fight Club,1999
"Fuck what you know. You need to forget about what you know, that's your problem. ",Tyler Durden ,by Brad Pitt,in Fight Club,1999
This is your life and it's ending one minute at a time.,Narrator,by Edward Norton,in Fight Club,1999
This is so fucking stupid...,Narrator,by Edward Norton,in Fight Club,1999
You're insane.,Narrator,by Edward Norton,in Fight Club,1999
"Without pain, without sacrifice, we would have nothing. Like the first monkey shot into space.",Tyler Durden ,by Brad Pitt,in Fight Club,1999
A day without blood is like a day without sunshine.,Private Joker ,by Matthew Modine,in Full Metal Jacket,1987
Be good... And don't trust boys.,Jack Carter ,by Michael Caine,in Get Carter,1971
Only comparatively.,Jack Carter ,by Michael Caine,in Get Carter,1971
'Cause I know you wear purple underwear.,Jack Carter ,by Michael Caine,in Get Carter,1971
What we do in life... echoes in eternity.,Maximus ,by Russell Crowe,in Gladiator,2000
"At my signal, unleash hell.",Maximus ,by Russell Crowe,in Gladiator,2000
You don't find it hard to do your duty?,Maximus ,by Russell Crowe,in Gladiator,2000
You will not be emperor.,Marcus Aurelius ,by Richard Harris,in Gladiator,2000
"Congratulations, you have very persuasive friends.",Proximo ,by Oliver Reed,in Gladiator,2000
"Yeah, why not?",James Bond ,by Sean Connery,in Goldfinger,1964
Shocking! Positively shocking!,James Bond ,by Sean Connery,in Goldfinger,1964
Can you afford to take that chance?,James Bond ,by Sean Connery,in Goldfinger,1964
I think you made your point. Thank you for the demonstration.,James Bond ,by Sean Connery,in Goldfinger,1964
"You like a close shave, don't you?",Pussy Galore ,by Honor Blackman,in Goldfinger,1964
That's very sensible.,Pussy Galore ,by Honor Blackman,in Goldfinger,1964
Don't let yourself get attached to anything you are not willing to walk out on in 30 seconds flat if you feel the heat around the corner.,Neil McCauley ,by Robert De Niro,in Heat,1995
There is a flip side to that coin. ,Neil McCauley ,by Robert De Niro,in Heat,1995
"Who? Who? What are you, a fucking owl?",Vincent Hanna,by Al Pacino,in Heat,1995
Pretty fuckin' great.,Vincent Hanna,by Al Pacino,in Heat,1995
You don't wanna know.,Vincent Hanna,by Al Pacino,in Heat,1995
"Bon voyage, motherfucker. ",Vincent Hanna,by Al Pacino,in Heat,1995
"Where's your empathy, brother? ",Albert Torena ,by Ricky Harris,in Heat,1995
"It's like risk versus reward, baby.",Charlene Shiherlis ,by Ashley Judd,in Heat,1995
Yeah man. Fuck it. You on.,Donald Breedan ,by Dennis Haysbert,in Heat,1995
Once an idea has taken hold of the brain it's almost impossible to eradicate. ,Cobb ,by Leonardo DiCaprio,in Inception,2010
That might work.,Cobb ,by Leonardo DiCaprio,in Inception,2010
No idea is simple when you have to plant it in someone else's mind.,Cobb ,by Leonardo DiCaprio,in Inception,2010
"You mustn't be afraid to dream a little bigger, darling.",Eames,by Tom Hardy,in Inception,2010
"Don't you want to take a leap of faith? Or become an old man, filled with regret, waiting to die alone!",Saito,by Ken Watanabe ,in Inception,2010
You mind telling your subconscious to take it easy?,Ariadne ,by Ellen Page,in Inception,2010
You should walk away from this!,Arthur,by Joseph Gordon-Levitt,in Inception,2010
Not a chance in hell. Goodnight!,David Levinson  ,by Jeff Goldblum ,in Independence day,1996
"This could be our last night on Earth. You don't want to die a virgin, do you?",Philip,by Devon Gummersall,in Independence day,1996
"Let's kick the tires and light the fires, big daddy!",Capt. Jimmy Wilder ,by Harry Connick Jr,in Independence day,1996
"Man, you are never gonna get to fly the space shuttle if you marry a stripper.",Capt. Jimmy Wilder ,by Harry Connick Jr,in Independence day,1996
"Ohhh, you're gonna have to do this one...",Capt. Steven Hiller ,by Will Smith,in Independence day,1996
You're gonna need a bigger boat.,Brody ,by Roy Scheider,in Jaws,1975
That makes a lot of sense.,Hooper ,by Richard Dreyfuss,in Jaws,1975
Fascinating. Want a pretzel?,Hooper ,by Richard Dreyfuss,in Jaws,1975
"Well, it's a tough job, but somebody's got to do it.",Frank White ,by Christopher Walken,in King of New York,1990
All we have to decide is what to do with the time that is given to us.,Gandalf,by Ian McKellen,in The Lord of the Rings,2001
"Fly, you fools!",Gandalf,by Ian McKellen,in The Lord of the Rings,2001
You shall not pass!,Gandalf,by Ian McKellen,in The Lord of the Rings,2001
There's no need to get angry.,Gandalf,by Ian McKellen,in The Lord of the Rings,2001
Be on your guard. There are older and fouler things than Orcs in the deep places of the world.,Gandalf,by Ian McKellen,in The Lord of the Rings,2001
Even the smallest person can change the course of the future.,Galadriel,Cate Blanchett,in The Lord of the Rings,2001
You must take it!,Frodo,by Elijah Wood,in The Lord of the Rings,2001
"It's a dangerous business, going out your door. ",Bilbo,by Ian Holm,in The Lord of the Rings,2001
Rip them all down.,Saruman,by Christopher Lee,in The Lord of the Rings,2001
There is no other way.,Frodo,by Elijah Wood,in The Lord of the Rings,2001
Don't tell the Elf.,Gimli ,by John Rhys-Davies,in The Lord of the Rings,2002
Whatever luck you live by... let's hope it lasts the night.,Gimli ,by John Rhys-Davies,in The Lord of the Rings,2002
"That was deliberate, it was deliberate.",Gimli ,by John Rhys-Davies,in The Lord of the Rings,2002
"Which is, of course, ridiculous.",Gimli ,by Joseph Gordon-Levitt,in The Lord of the Rings,2002
Keep breathing. That's the key. Breathe.,Gimli ,by Joseph Gordon-Levitt,in The Lord of the Rings,2002
"Hold your ground, hold your ground!",Aragorn,by Viggo Mortensen,in The Lord of the Rings,2003
What does your heart tell you?,Aragorn,by Viggo Mortensen,in The Lord of the Rings,2003
"Well, that isn't so bad.",Pippin,by Billy Boyd,in The Lord of the Rings,2003
Nothing is certain.,Elrond ,by Hugo Weaving,in The Lord of the Rings,2003
It's the deep breath before the plunge.,Gandalf,by Ian McKellen,in The Lord of the Rings,2003
Prepare for battle!,Gandalf,by Ian McKellen,in The Lord of the Rings,2003
Anything I say. What a wonderful philosophy you have. ,Toecutter,by Hugh Keays-Byrne,in Mad Max,1979
Joviality is a game of children.,Bubba Zanetti ,by Geoff Parry,in Mad Max,1979
You've seen it!... You've heard it!... and you're still asking questions?,Goose ,by Steve Bisley,in Mad Max,1979
"This is your last chance. After this, there is no turning back. ",Morpheus,by Laurence Fishburne,in The Matrix,1999
"I imagine that right now, you're feeling a bit like Alice. Hmm? Tumbling down the rabbit hole?",Morpheus,by Laurence Fishburne,in The Matrix,1999
"Neo, sooner or later you're going to realize just as I did that there's a difference between knowing the path and walking the path.",Morpheus,by Laurence Fishburne,in The Matrix,1999
"You have the look of a man who accepts what he sees because he is expecting to wake up. Ironically, that's not far from the truth. ",Morpheus,by Laurence Fishburne,in The Matrix,1999
Do not try and bend the spoon. That's impossible. Instead... only try to realize the truth.,Spoon boy ,by Rowan Witt,in The Matrix,1999
To deny our own impulses is to deny the very thing that makes us human.,Mouse,by Matt Doran,in The Matrix,1999
Ignorance is bliss.,Cypher,by Joe Pantoliano,in The Matrix,1999
Dodge this.,Trinity ,by Carrie-Anne Moss,in The Matrix,1999
"Your next life, maybe. Who knows? That's the way these things go.",Oracle,by Gloria Foster,in The Matrix,1999
"It's fate, you know. Nobody can stop fate, nobody can.",Mickey,by Woody Harrelson,in Natural Born Killers,1994
"You know, the only thing that kills the demon... is love.",Mickey,by Woody Harrelson,in Natural Born Killers,1994
You can't hide from your shadow.,Mickey,by Woody Harrelson,in Natural Born Killers,1994
"The whole world's comin' to an end, Mal!",Mickey,by Woody Harrelson,in Natural Born Killers,1994
"Another day, perhaps, but not today!",Mickey,by Woody Harrelson,in Natural Born Killers,1994
That's poetry. But we'll do that when all else fails.,Mickey,by Woody Harrelson,in Natural Born Killers,1994
You make everyday feel like kindergarten.,Mallory,by Juliette Lewis,in Natural Born Killers,1994
Just how far do you think you're gonna get?,Dwight McClusk ,by Tommy Lee Jones ,in Natural Born Killers,1994
I thought you'd be a little more creative than that!,Mallory,by Juliette Lewis,in Natural Born Killers,1994
And now it's here. And it's either heads or tails. And you have to say. Call it.,Anton Chigurh ,by Javier Bardem,in No Country For Old Men,2007
People always say the same thing.,Anton Chigurh ,by Javier Bardem,in No Country For Old Men,2007
And you know what's going to happen now. You should admit your situation. There would be more dignity in it.,Anton Chigurh ,by Javier Bardem,in No Country For Old Men,2007
"Whatcha got ain't nothin new. This country's hard on people, you can't stop what's coming, it ain't all waiting on you. That's vanity.",Ellis,by Barry Corbin,in No Country For Old Men,2007
Do you have any idea how crazy you are?,Carson Wells ,by Woody Harrelson,in No Country For Old Men,2007
I'm kindly surprised to hear you say that.,Ed Tom Bell ,by Tommy Lee Jones,in No Country For Old Men,2007
Now that's aggravatin'.,Ed Tom Bell ,by Tommy Lee Jones,in No Country For Old Men,2007
"But I think once you quit hearing ""sir"" and ""ma'am,"" the rest is soon to follow.",Ed Tom Bell ,by Tommy Lee Jones,in No Country For Old Men,2007
Be careful.,Loretta Bell ,by Tess Harper,in No Country For Old Men,2007
"Oh, baby, things happen...",Llewelyn Moss ,by Josh Brolin,in No Country For Old Men,2007
"Remember, never trust anybody over 30.",George Taylor ,by Charlton Heston,in Planet of the Apes,1968
You can't trust the older generation.,Lucius,by Lou Wagner,in Planet of the Apes,1968
"So beer ain't good enough for you, huh?",Tom Powers ,by James Cagney,in The Public Enemy,1931
"Well, not before breakfast, dear.",Kitty,by Mae Clarke,in The Public Enemy,1931
"Anything you say, big boy.",Kitty,by Mae Clarke,in The Public Enemy,1931
Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?,Mia ,by Uma Thurman,in Pulp Fiction,1994
"Zed's dead, baby. Zed's dead.",Butch,by Bruce Willis,in Pulp Fiction,1994
If my answers frighten you then you should cease asking scary questions.,Jules,by Samuel L. Jackson,in Pulp Fiction,1994
"Oh, Jimmie, don't even worry about that...",Jules,by Samuel L. Jackson,in Pulp Fiction,1994
"Now Yolanda, we're not gonna do anything stupid, are we?",Jules,by Samuel L. Jackson,in Pulp Fiction,1994
I said don't do that!,Jules,by Samuel L. Jackson,in Pulp Fiction,1994
"Yeah, that's probably a good idea.",Jules,by Samuel L. Jackson,in Pulp Fiction,1994
"Fuck pride. Pride only hurts, it never helps.",Marsellus,by Ving Rhames,in Pulp Fiction,1994
Just because you are a character doesn't mean that you have character.,The Wolf ,by Harvey Keitel,in Pulp Fiction,1994
I'm kinda curious about that myself...,Lance,by Eric Stoltz,in Pulp Fiction,1994
"If you're all right, then say something.",Lance,by Eric Stoltz,in Pulp Fiction,1994
I DON'T KNOW! STOP BOTHERING ME!,Lance,by Eric Stoltz,in Pulp Fiction,1994
"Chill the fuck out, Jules, this shit happens.",Vincent,by John Travolta,in Pulp Fiction,1994
It's just against the rules. ,Vincent,by John Travolta,in Pulp Fiction,1994
Any time of the day is a good time for pie.,Fabienne,by Maria de Medeiros,in Pulp Fiction,1994
I like the way you stink.,Fabienne,by Maria de Medeiros,in Pulp Fiction,1994
"Man, I don't even have an opinion.",Marvin,by Phil LaMarr,in Pulp Fiction,1994
"It's not the years, honey, it's the mileage.",Indiana,by Harrison Ford,in Raiders of the Lost Ark,1981
"I don't know, I'm making this up as I go!",Indiana,by Harrison Ford,in Raiders of the Lost Ark,1981
Try the local sewer.,Indiana,by Harrison Ford,in Raiders of the Lost Ark,1981
"Come on! Show a little backbone, will ya!",Jock,by Fred Sorenson,in Raiders of the Lost Ark,1981
"Yes, that's what the Hebrews thought.",Brody ,by Denholm Elliott,in Raiders of the Lost Ark,1981
"We never seem to get a break, do we?",Marion,by Karen Allen,in Raiders of the Lost Ark,1981
"If you insist, senor.",Satipo,by Alfred Molina,in Raiders of the Lost Ark,1981
Let us hurry. There is nothing to fear here.,Satipo,by Alfred Molina,in Raiders of the Lost Ark,1981
"Please, sit down before you fall down.",Belloq,by Paul Freeman,in Raiders of the Lost Ark,1981
That time has passed.,Toht,by Ronald Lacey,in Raiders of the Lost Ark,1981
"That's hard, man. That's a fucking hard situation.",Mr. White ,by Harvey Keitel,in Reservoir Dogs,1992
"I don't know, but somebody did!",Mr. Pink ,by Steve Buscemi,in Reservoir Dogs,1992
"Well, that's hard to say, It's kind of a strange time now. ",Joe,by Lawrence Tierney,in Reservoir Dogs,1992
"All right ramblers, let's get rambling!",Joe,by Lawrence Tierney,in Reservoir Dogs,1992
"Never mind what you ""normally"" would do.",Joe,by Lawrence Tierney,in Reservoir Dogs,1992
It's a change.,Mr. Blonde ,by Michael Madsen,in Reservoir Dogs,1992
No. Of course not.,Luke,by Mark Hamill,in Return of the Jedi,1983
It's a trap!,Admiral Ackbar ,by Tim Rose,in Return of the Jedi,1983
Doesn't sound so bad.,Han Solo ,by Harrison Ford,in Return of the Jedi,1983
I have a really bad feeling about this.,Han Solo: ,by Harrison Ford,in Return of the Jedi,1983
"You're a jittery little thing, aren't you?",Princess Leia,by Carrie Fisher,in Return of the Jedi,1983
You cannot escape your destiny. You must face Darth Vader again.,Obi-Wan ,by Alec Guinness,in Return of the Jedi,1983
Rise my friend.,The Emperor ,by Ian McDiarmid,in Return of the Jedi,1983
As you wish.,Darth Vader ,by David Prowse,in Return of the Jedi,1983
"It means the same thing, you know that.",Feathers ,Angie Dickinson,in Rio Bravo,1959
It's nice to see a smart kid for a change.,John T. Chance ,by John Wayne,in Rio Bravo,1959
"You take chances, my friend.",John T. Chance ,by John Wayne,in Rio Bravo,1959
"If I ever saw a man holdin' a bull by the tail, you're it.",Pat Wheeler ,by Ward Bond,in Rio Bravo,1959
Not unless you mind your own business.,Dude,by Dean Martin,in Rio Bravo,1959
Stay out of trouble.,RoboCop ,by Peter Weller,in RoboCop,1987
They'll fix you. They fix everything.,RoboCop ,by Peter Weller,in RoboCop,1987
Knock yourself out.,Bob Morton ,byMiguel Ferrer,in RoboCop,1987
Yeah. D'you wanna live forever?,Emil,by Paul McCrane,in RoboCop,1987
"Turn around, man.",Steve Minh ,by Calvin Jung,in RoboCop,1987
You can keep the gum.,Clarence Boddicker ,by Kurtwood Smith,in RoboCop,1987
You're gonna eat lightnin' and you're gonna crap thunder!,Mickey,by Burgess Meredith,in Rocky,1976
I always knew you was pretty...,Rocky,by Sylvester Stallone,in Rocky,1976
Fucked up beyond all recognition.,Mellish ,by Adam Goldberg,in Saving Private Ryan,1998
I got a bad feeling about this one.,Private Reiben ,by Edward Burns,in Saving Private Ryan,1998
It doesn't make any sense.,Private Ryan ,by Matt Damon,in Saving Private Ryan,1998
Earn this.,Captain Miller ,by Tom Hanks,in Saving Private Ryan,1998
Things have taken a turn for the surreal.,Captain Miller ,by Tom Hanks,in Saving Private Ryan,1998
"Not enough, this is not enough.",Captain Miller ,by Tom Hanks,in Saving Private Ryan,1998
Don't let your mouth get your ass in trouble.,John Shaft ,by Richard Roundtree,in Shaft,1971
"Yeah, I know. Take it easy.",John Shaft ,by Richard Roundtree,in Shaft,1971
Good question.,James Bond ,by Daniel Craig,in Skyfall,2012
"Well, everybody needs a hobby.",James Bond ,by Daniel Craig,in Skyfall,2012
Not even remotely.,James Bond ,by Daniel Craig,in Skyfall,2012
That would be one way of looking at it.,James Bond ,by Daniel Craig,in Skyfall,2012
Be careful what you wish for...,Suvirine ,by Barnice Marlohe,in Skyfall,2012
Think of your sins.,Raoul Silva ,by Javier Bardem,in Skyfall,2012
You can't grieve forever.,Marcus Licinius Crassus ,by Laurence Olivier,in Spartacus,1960
"Good luck, and may fortune smile upon... most of you.",Batiatus ,by Peter Ustinov,in Spartacus,1960
"Use the Force, Luke.",Ben Obi-Wan Kenobi ,by Alec Guinness,in Star Wars,1977
"No, I don't think he likes you at all.",C-3PO ,by Anthony Daniels,in Star Wars,1977
The Force is strong with this one.,Darth Vader ,by David Prowse,in Star Wars,1977
I have a very bad feeling about this.,Luke Skywalker ,by Mark Hamill,in Star Wars,1977
"Your powers are weak, old man.",Darth Vader,by David Prowse,in Star Wars,1977
"The Force will be with you, always.",Ben Obi-Wan Kenobi,by Alec Guinness,in Star Wars,1977
"In my experience, there's no such thing as luck.",Ben Obi-Wan Kenobi,by Alec Guinness,in Star Wars,1977
It's not over yet.,Princess Leia Organa ,by Carrie Fisher,in Star Wars,1977
You can waste time with your friends when your chores are done.,Uncle Owen ,by Phil Brown,in Star Wars,1977
What makes you think that?,Uncle Owen,by Phil Brown,in Star Wars,1977
May the Force be with you.,Han Solo,by Harrison Ford,in Star Wars,1977
That isn't very reassuring.,C-3PO: ,by Anthony Daniels,in Star Wars,1977
Now we're through talkin'.,Youngblood Priest ,by Ron O'Neal,in Superfly,1972
"Just think about it, don't throw it out, just, just think about it.",Eddie,by Carl Lee,in Superfly,1972
"Hasta la vista, baby.",The Terminator ,by Arnold Schwarzenegger,in Terminator 2: Judgment Day,1991
No.,The Terminator ,by Arnold Schwarzenegger,in Terminator 2: Judgment Day,1991
Yes.,The Terminator ,by Arnold Schwarzenegger,in Terminator 2: Judgment Day,1991
"Stay here, I'll be back.",The Terminator ,by Arnold Schwarzenegger,in Terminator 2: Judgment Day,1991
"Great! See, you're getting it!",John Connor,by Edward Furlong,in Terminator 2: Judgment Day,1991
This is deep...,John Connor,by Edward Furlong,in Terminator 2: Judgment Day,1991
Come with me if you want to live.,Kyle Reese ,by Michael Biehn,in Terminator,1984
Look! You have heard enough! I have answered your questions! ,Kyle Reese ,by Michael Biehn,in Terminator,1984
Pain can be controlled - you just disconnect it.,Kyle Reese ,by Michael Biehn,in Terminator,1984
You can't do that.,Pawn Shop Clerk ,by Dick Miller,in Terminator,1984
Wrong!,The Terminator ,by Arnold Schwarzenegger,in Terminator,1984
"If you're good at something, never do it for free.",The Joker ,by Heath Ledger,in The Dark Knight,2008
Why so serious?,The Joker ,by Heath Ledger,in The Dark Knight,2008
Let's put a smile on that face!,The Joker ,by Heath Ledger,in The Dark Knight,2008
"Mmm, now we're talking.",The Joker ,by Heath Ledger,in The Dark Knight,2008
Very poor choice of words...,The Joker ,by Heath Ledger,in The Dark Knight,2008
Ta-daa! It's... it's gone.,The Joker ,by Heath Ledger,in The Dark Knight,2008
The only sensible way to live in this world is without rules.,The Joker ,by Heath Ledger,in The Dark Knight,2008
Make it fast.,The Joker ,by Heath Ledger,in The Dark Knight,208
"Oh, you have no idea.",Alfred Pennyworth ,by Michael Caine,in The Dark Knight,2008
Can't hurt your chances.,Harvey Dent/Two-Face,Aaron Eckhart,in The Dark Knight,2008
I certainly hope not.,Bruce Wayne ,by Christian Bale,in The Dark Knight,2008
But I did bloody tell you.,Alfred Pennyworth,by Michael Caine,in The Dark Knight,2008
You're crazy.,Gambol,by Michael Jai White,in The Dark Knight,2008
I'd recommend a good travel agent.,Lucius Fox ,by Morgan Freemanx,in The Dark Knight,2008
